alg,task_type,task_level,n_arms,wsteps,tplanning_moaw,ctrl_freq_moaw,sim_clocktime,sim_physics_time
"SD(400, 5)",reach,6,4,500,0.04923296356201172,20.31159466442525,139.65933656692505,4.150000216439366
"SD(400, 5)",reach,1,4,500,0.04949524545669556,20.203960820336192,140.66224575042725,4.150000216439366
"SD(400, 5)",reach,10,4,500,0.0584132571220398,17.11940147269569,193.84251165390015,4.150000216439366
"SD(400, 5)",reach,3,4,500,0.054609433174133304,18.31185459866057,153.54766702651978,4.150000216439366
"SD(400, 5)",reach,4,4,500,0.05500143003463745,18.181345455386243,158.8477692604065,4.150000216439366
"SD(400, 5)",reach,2,4,500,0.05444719123840332,18.366420328670113,148.11503052711487,4.150000216439366
"SD(400, 5)",reach,7,4,500,0.05587150239944458,17.898212094793088,162.27620148658752,4.150000216439366
"SD(400, 5)",reach,8,4,500,0.05866185712814331,17.04685205951731,159.85070848464966,4.150000216439366
"SD(400, 5)",reach,5,4,500,0.057295511722564696,17.453374093981083,162.9428470134735,4.150000216439366
"SD(400, 5)",reach,3,4,500,0.05469277572631836,18.283950425262407,154.69400238990784,4.150000216439366
"SD(400, 5)",reach,2,4,500,0.05406534671783447,18.496135893088265,148.25842666625977,4.150000216439366
"SD(400, 5)",reach,9,4,500,0.0582433819770813,17.169332652995646,169.78535294532776,4.150000216439366
"SD(400, 5)",reach,4,4,500,0.054723138332366944,18.27380575153404,153.5246503353119,4.150000216439366
"SD(400, 5)",reach,9,4,500,0.0581255841255188,17.204128182876556,160.28966736793518,4.150000216439366
"SD(400, 5)",reach,2,4,500,0.05476857233047485,18.25864647276136,149.289297580719,4.150000216439366
"SD(400, 5)",reach,10,4,500,0.05489099264144898,18.21792523469298,182.0029706954956,4.150000216439366
"SD(400, 5)",reach,5,4,500,0.058359526634216306,17.1351629746376,164.51771187782288,4.150000216439366
"SD(400, 5)",reach,6,4,500,0.049855398654937745,20.058008299587804,158.43262219429016,4.150000216439366
"SD(400, 5)",reach,7,4,500,0.05560986328125,17.98242148056441,150.14595794677734,4.150000216439366
"SD(400, 5)",reach,6,4,500,0.05012874889373779,19.94863271213462,139.85441303253174,4.150000216439366
"SD(400, 5)",reach,3,4,500,0.05542006969451904,18.044004735326027,155.02146220207214,4.150000216439366
"SD(400, 5)",reach,5,4,500,0.0619350643157959,16.145942707045197,177.66747641563416,4.150000216439366
"SD(400, 5)",reach,1,4,500,0.050060832500457765,19.975696568586944,141.72772932052612,4.150000216439366
"SD(400, 5)",reach,4,4,500,0.05672938919067383,17.627547454087477,161.73590922355652,4.150000216439366
"SD(400, 5)",reach,8,4,500,0.056243861198425296,17.77971815398758,159.6117868423462,4.150000216439366
"SD(400, 5)",reach,8,4,500,0.056081865310668944,17.83107595406177,175.33760237693787,4.150000216439366
"SD(400, 5)",reach,7,4,500,0.05809002685546875,17.214658937721897,154.10645580291748,4.150000216439366
"SD(400, 5)",reach,1,4,500,0.051744293689727786,19.32580249324224,142.2046241760254,4.150000216439366
"SD(400, 5)",reach,6,4,500,0.05194315242767334,19.25181574977413,143.84665608406067,4.150000216439366
"SD(400, 5)",reach,6,4,500,0.06726991367340088,14.865486595613232,154.6241753101349,4.150000216439366
"SD(400, 5)",reach,4,4,500,0.057163984775543214,17.493532053906705,160.33147764205933,4.150000216439366
"SD(400, 5)",reach,2,4,500,0.059062754154205324,16.931144074133886,151.73665928840637,4.150000216439366
"SD(400, 5)",reach,1,4,500,0.05171482563018799,19.336814691225808,143.00847935676575,4.150000216439366
"SD(400, 5)",reach,2,4,500,0.05628450584411621,17.76687891281427,151.02468729019165,4.150000216439366
"SD(400, 5)",reach,5,4,500,0.06172123718261719,16.201878731647234,177.99480605125427,4.150000216439366
"SD(400, 5)",reach,9,4,500,0.056586832046508787,17.671955892107526,180.33295154571533,4.150000216439366
"SD(400, 5)",reach,7,4,500,0.05804301929473877,17.22860065087351,155.68105292320251,4.150000216439366
"SD(400, 5)",reach,9,4,500,0.08412445974349976,11.88714914840531,174.31405758857727,4.150000216439366
"SD(400, 5)",reach,10,4,500,0.09337336921691894,10.709691728878981,184.34459805488586,4.150000216439366
"SD(400, 5)",reach,2,4,500,0.057167616367340086,17.492420771478955,149.86909747123718,4.150000216439366
"SD(400, 5)",reach,3,4,500,0.05834840631484985,17.138428676251554,156.38400506973267,4.150000216439366
"SD(400, 5)",reach,5,4,500,0.0671122441291809,14.900410692200241,169.8543665409088,4.150000216439366
"SD(400, 5)",reach,7,4,500,0.058678767681121825,17.0419393507768,177.2219295501709,4.150000216439366
"SD(400, 5)",reach,4,4,500,0.05826272296905517,17.16363309231403,161.51487755775452,4.150000216439366
"SD(400, 5)",reach,10,4,500,0.05711346054077148,17.509007343131167,184.86952424049377,4.150000216439366
"SD(400, 5)",reach,4,4,500,0.05687023782730102,17.58388989046819,158.50430059432983,4.150000216439366
"SD(400, 5)",reach,5,4,500,0.0596673903465271,16.759573264263004,171.0071578025818,4.150000216439366
